[27-Jun-2017 13:13:35 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:35 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:35 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:35 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:42 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:13:44 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
[27-Jun-2017 13:14:54 Europe/London] PHP Warning:  var_export does not handle circular references in C:\Apache24\htdocs\silverstripe\development\master\mysite\code\Section.php on line 19
